user_id,published,post_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
af60c7da-acb4-11ec-880a-a0cec8d2d278,1648512000,short,216,58,5,53,18,12,21,6,43
af60c7e4-acb4-11ec-ab31-a0cec8d2d278,1647993600,short,196,45,0,73,35,8,16,25,39
af60c7f9-acb4-11ec-bead-a0cec8d2d278,1647907200,short,138,6,13,59,33,5,16,12,13
af60c815-acb4-11ec-a572-a0cec8d2d278,1648080000,short,81,9,1,9,34,18,11,4,5
af60c80d-acb4-11ec-aeb5-a0cec8d2d278,1647820800,short,166,53,11,75,0,5,17,24,45
af60c7f9-acb4-11ec-bead-a0cec8d2d278,1647820800,short,244,9,28,153,57,7,16,4,7
af60c7dd-acb4-11ec-8785-a0cec8d2d278,1647475200,short,255,11,18,120,69,12,17,23,14
af60c809-acb4-11ec-8a3c-a0cec8d2d278,1647561600,short,236,48,13,154,20,18,25,19,0
af60c7e4-acb4-11ec-ab31-a0cec8d2d278,1648252800,short,245,41,9,138,34,19,38,16,0
af60c7df-acb4-11ec-a60b-a0cec8d2d278,1647907200,video,283,4,31,162,85,15,12,6,3
af60c7d2-acb4-11ec-94cb-a0cec8d2d278,1648339200,short,80,18,0,0,21,18,7,15,19
af60c7ec-acb4-11ec-8574-a0cec8d2d278,1647993600,video,193,49,2,70,47,16,9,19,32
af60c7d6-acb4-11ec-93e0-a0cec8d2d278,1648080000,short,140,55,13,0,27,13,18,36,46
af60c81b-acb4-11ec-853f-a0cec8d2d278,1648080000,short,270,12,18,143,64,16,23,13,11
af60c7e1-acb4-11ec-a565-a0cec8d2d278,1647561600,short,281,48,8,199,34,12,30,2,4
af60c81a-acb4-11ec-a8d0-a0cec8d2d278,1647820800,video,101,3,15,25,34,16,9,5,12
af60c7d1-acb4-11ec-ab28-a0cec8d2d278,1647734400,short,148,54,7,38,30,8,13,17,42
af60c7fc-acb4-11ec-9f45-a0cec8d2d278,1647388800,short,86,5,1,7,33,16,19,7,4
af60c823-acb4-11ec-80c9-a0cec8d2d278,1648512000,short,265,24,24,166,52,15,20,11,1
af60c7f4-acb4-11ec-b76c-a0cec8d2d278,1648425600,short,270,11,16,148,68,26,19,1,8
af60c811-acb4-11ec-bd0f-a0cec8d2d278,1647993600,short,110,53,4,7,7,14,14,19,49
af60c812-acb4-11ec-be64-a0cec8d2d278,1648080000,short,309,7,20,158,74,20,19,18,20
af60c814-acb4-11ec-ac5f-a0cec8d2d278,1648080000,short,130,47,8,28,18,10,17,23,34
af60c7ce-acb4-11ec-b2df-a0cec8d2d278,1647648000,short,230,40,11,141,24,13,33,12,7
af60c7c4-acb4-11ec-9d00-a0cec8d2d278,1647907200,short,118,13,1,37,15,9,13,21,23
af60c7f1-acb4-11ec-b154-a0cec8d2d278,1648080000,video,137,13,0,49,34,21,16,14,3
af60c7ef-acb4-11ec-81cd-a0cec8d2d278,1648512000,short,251,53,12,168,18,19,31,15,0
af60c807-acb4-11ec-ad81-a0cec8d2d278,1648166400,video,184,8,16,102,51,11,14,6,0
af60c7e6-acb4-11ec-8e07-a0cec8d2d278,1648166400,short,233,9,21,128,69,15,11,1,9
af60c80e-acb4-11ec-8ff6-a0cec8d2d278,1647907200,video,259,48,4,145,54,16,27,17,0
af60c7fc-acb4-11ec-9f45-a0cec8d2d278,1648339200,short,297,10,20,161,83,18,20,15,0
af60c7f7-acb4-11ec-b6a7-a0cec8d2d278,1648080000,video,81,21,6,15,18,15,22,6,5
af60c7c0-acb4-11ec-b646-a0cec8d2d278,1647388800,video,136,56,5,9,36,13,18,34,26
af60c7d5-acb4-11ec-8bf8-a0cec8d2d278,1647993600,video,146,52,10,22,27,21,10,17,49
af60c7cf-acb4-11ec-96a2-a0cec8d2d278,1647475200,short,308,4,19,186,78,19,15,10,0
af60c81e-acb4-11ec-af6a-a0cec8d2d278,1648512000,short,304,13,21,160,93,10,23,18,0
af60c7e3-acb4-11ec-af53-a0cec8d2d278,1648252800,short,174,43,7,27,49,18,17,28,35
af60c7e3-acb4-11ec-af53-a0cec8d2d278,1648512000,short,100,15,1,28,18,16,13,24,1
af60c7e7-acb4-11ec-b480-a0cec8d2d278,1647907200,short,135,54,0,0,29,18,12,32,44
af60c7fb-acb4-11ec-bab3-a0cec8d2d278,1647561600,short,260,16,22,149,76,15,15,5,0
af60c7eb-acb4-11ec-b640-a0cec8d2d278,1647907200,video,65,11,15,8,20,18,13,0,6
af60c818-acb4-11ec-8bc6-a0cec8d2d278,1647820800,short,121,49,4,0,35,15,9,33,29
af60c7c2-acb4-11ec-8608-a0cec8d2d278,1648252800,text,239,59,7,127,37,5,33,20,17
af60c7fb-acb4-11ec-bab3-a0cec8d2d278,1648339200,video,104,53,6,0,24,11,18,13,38
af60c7cb-acb4-11ec-b3b4-a0cec8d2d278,1648425600,short,284,48,6,203,28,6,37,9,1
af60c807-acb4-11ec-ad81-a0cec8d2d278,1648339200,video,72,11,6,8,20,16,14,14,0
af60c7e7-acb4-11ec-b480-a0cec8d2d278,1647648000,video,182,46,6,24,48,13,25,26,46
af60c7d5-acb4-11ec-8bf8-a0cec8d2d278,1647820800,video,262,10,21,146,69,17,14,16,0
af60c7d8-acb4-11ec-9b66-a0cec8d2d278,1647993600,video,156,49,9,30,28,10,23,25,40
af60c7e2-acb4-11ec-9952-a0cec8d2d278,1647734400,short,160,3,0,53,51,17,24,15,0
af60c80c-acb4-11ec-b5eb-a0cec8d2d278,1647734400,video,188,45,0,26,57,19,18,27,41
af60c81b-acb4-11ec-853f-a0cec8d2d278,1648166400,short,224,49,12,143,20,21,25,8,7
af60c7c6-acb4-11ec-918b-a0cec8d2d278,1647388800,photo,84,7,8,17,34,7,14,12,0
af60c7f5-acb4-11ec-b7db-a0cec8d2d278,1647388800,short,150,55,10,28,28,22,23,20,29
af60c7c3-acb4-11ec-97e2-a0cec8d2d278,1647734400,short,278,58,8,155,52,26,29,16,0
af60c7c5-acb4-11ec-83fd-a0cec8d2d278,1648512000,video,73,3,3,0,21,9,16,16,11
af60c814-acb4-11ec-ac5f-a0cec8d2d278,1647561600,short,231,60,5,155,38,5,23,9,1
af60c7e8-acb4-11ec-b02a-a0cec8d2d278,1648339200,short,218,6,25,110,70,10,17,5,6
af60c7f2-acb4-11ec-9a2d-a0cec8d2d278,1647388800,short,163,11,1,94,45,14,8,0,2
af60c7e4-acb4-11ec-ab31-a0cec8d2d278,1647734400,video,148,48,11,14,43,21,13,21,36
af60c815-acb4-11ec-a572-a0cec8d2d278,1648512000,short,116,24,10,37,34,13,22,0,10
af60c7f3-acb4-11ec-b86f-a0cec8d2d278,1648080000,short,234,55,9,140,34,17,25,13,5
af60c808-acb4-11ec-bb8c-a0cec8d2d278,1647475200,short,118,43,3,30,0,15,8,24,41
af60c7d4-acb4-11ec-9b30-a0cec8d2d278,1648512000,video,301,13,8,197,71,7,14,6,6
af60c805-acb4-11ec-bee5-a0cec8d2d278,1648080000,video,179,51,6,44,36,14,25,35,25
